click_count,grade,link,location,name,show_time,type
546,5.9,magnet:?xt=urn:btih:f9f2f48e0e90b5567d2a7c077a10d4ddc8518706&dn=[电影天堂www.dytt89.com]真人快打-2021_HD中英双字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce,澳大利亚/美国,2021年欧美动作奇幻片《真人快打》HD中英双字,2021-04-23(美国),动作/奇幻/冒险
169,6.6,magnet:?xt=urn:btih:bce62beb511660ef228aa55e64419f503d92ef49&dn=[电影天堂www.dytt89.com]好消息-2019_BD中英双字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce,印度,2019年印度6.6分喜剧爱情片《好消息》BD中英双字,2019-12-27(印度),喜剧/爱情/剧情
4354,8.8,magnet:?xt=urn:btih:e22bc91f735a83bce9bf81a0968c3c381be84c20&dn=[电影天堂www.dytt89.com]扎克·施奈德版正义联盟-2021_BD中英双字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce,美国,2021年美国8.8分科幻片《扎克·施奈德版正义联盟》BD中英双字,2021-03-18(美国),动作/科幻/奇幻/冒险
76261,6.5,magnet:?xt=urn:btih:81d6004141cd56d331f6b53152cd6aa7837124e8&dn=[电影天堂www.dytt89.com]神奇女侠1984BD国英双语中英双字V2修正版.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce,美国/英国/西班牙,2020年欧美6.5分动作片《神奇女侠1984》BD国英双语中英双字,2020-12-18(中国大陆)/2020-12-25(美国),动作/奇幻/冒险
2269,6.6,magnet:?xt=urn:btih:0f831c0c029dcba62970312b13f58bba10a86a33&dn=[电影天堂www.dytt89.com]21座桥-2019_BD中英双字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce,美国,2019年美国6.6分动作犯罪片《21座桥》BD中英双字,2021-03-19(中国大陆)/2019-09-25(印度尼西亚)/2019-11-22(美国),动作/悬疑/犯罪
3314,5.8,magnet:?xt=urn:btih:1bb7062af3f892c60baed8b7dc884eba4ba92bc1&dn=[电影天堂www.dytt89.com]侍神令-2021_HD国英双语中字.mkv&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce,中国大陆,2021年国产陈坤周迅奇幻片《侍神令》HD国英双语中字,2021-02-12(中国大陆),奇幻
2290,6.7,magnet:?xt=urn:btih:b6c001de2a3d9ce184e9e41df1803300b723043d&dn=[电影天堂www.dytt89.com]许愿神龙-2021_HD国语中字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce,中国大陆/美国/中国香港,2021年中美合拍喜剧动画片《许愿神龙》HD国语中字,2021-01-15(中国大陆),喜剧/动画/奇幻
1666,7.7,magnet:?xt=urn:btih:a5816fb2e6ef84e507a0d7e4c3698bf333dbc35a&dn=[电影天堂www.dytt89.com]武汉日夜-2021_HD国语中字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce,中国大陆,2021年国产7.7分纪录片《武汉日夜》HD国语中字,2021-01-22(中国大陆),纪录片
1549,6.6,magnet:?xt=urn:btih:b59cde725fbd3bf23896da7596f7cb3c9ca2ab06&dn=[电影天堂www.dytt89.com]海兽之子-2019_BD国日双语中字.mkv&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce,日本,2019年日本6.6分奇幻动画片《海兽之子》BD国日双语中字,2020-11-20(中国大陆)/2019-06-07(日本),奇幻/冒险/动画
1827,7.4,magnet:?xt=urn:btih:b1c2ee445c7080915f4df4750e82c62ab0e08fb5&dn=[电影天堂www.dytt89.com]哆啦A梦：大雄的新恐龙-2020_BD国粤日三语中字.mkv&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce,日本,2020年日本7.4分动画《哆啦A梦：大雄的新恐龙》BD国粤日语中字,2020-12-11(中国大陆)/2020-08-07(日本),奇幻/冒险/动画
